"","Gene.Description","Gene.Accession.Number","index"
"804","Macmarcks","HG1612-HT1612_at",804
"805","Protein Phosphatase 1; Alpha Catalytic Subunit","HG1614-HT1614_at",805
"806","Elastase 1","HG1649-HT1652_at",806
"807","Spermidine/Spermine N1-Acetyltransferase; Alt. Splice 2","HG172-HT3924_at",807
"808","Macrophage Scavenger Receptor; Alt. Splice 2","HG1723-HT1729_at",808
"809","Moloney Murine Sarcoma Viral Oncogene Homolog","HG1733-HT1748_at",809
"810","Desmoplakin I","HG174-HT174_at",810
"811","Ahnak-A Nucleoprotein Ahnak-A","HG180-HT180_at",811
"812","Ribosomal Protein S20","HG1800-HT1823_at",812
"813","Ornithine Aminotransferase-Like 3","HG1804-HT1829_at",813
"814","Nexin; Glia-Derived","HG1828-HT1857_at",814
"815","Calmodulin Type I","HG1862-HT1897_at",815
"816","Male Enhanced Antigen","HG1869-HT1904_at",816
"817","Major Histocompatibility Complex; Dg","HG1872-HT1907_at",817
"818","Ras-Like Protein Tc10","HG1879-HT1919_at",818
"819","Laminin; A Polypeptide","HG2028-HT2082_at",819
"820","Stimulatory Gdp/Gtp Exchange Protein For C-Ki-Ras P21 And Smg P21","HG2036-HT2090_at",820
"821","Arrestin; Beta 2","HG2059-HT2114_at",821
"822","Zinc Finger Protein 92","HG2152-HT2222_at",822
"823","Translocation-Associated Notch (Drosophila) Homolog 1","HG2161-HT2231_at",823
"824","Protein Kinase Ht31; Camp-Dependent","HG2167-HT2237_at",824
"825","Paired Box Hup1 (Gb:X15042)","HG2188-HT2258_at",825
"826","Crystallin; Beta B3 (Gb:X15144)","HG2190-HT2260_at",826
"827","Crystallin; Beta B3 (Gb:X15145)","HG2191-HT2261_at",827
"828","Crystallin; Beta B","HG2228-HT2305_at",828
"829","Paired Box Hup1 (Gb:X15250)","HG2229-HT2306_at",829
"830","Major Intrinsic Protein","HG2247-HT2332_at",830
"831","Antigen; Prostate Specific; Alt. Splice Form 3","HG2261-HT2352_at",831
"832","Atpase; Ca2+ Transporting; Plasma Membrane 1; Alt. Splice 6","HG2264-HT2360_at",832
"833","Rna Polymerase Ii; 14.5 Kda Subunit","HG2274-HT2370_at",833
"834","Triosephosphate Isomerase","HG2279-HT2375_at",834
"835","D-Amino-Acid Oxidase","HG2280-HT2376_at",835
"836","Calcitonin","HG2290-HT2386_at",836
"837","Insulin-Like Growth Factor Ib","HG2309-HT2405_at",837
"838","4-Beta-Galactosyltransferase","HG2314-HT2410_at",838
"839","Integrin; Beta 3 Subunit","HG2320-HT2416_at",839
"840","Retinoic Acid Receptor; Gamma 2","HG2325-HT2421_at",840
"841","Nuclear Factor 1; Variant Hepatic","HG2339-HT2435_at",841
"842","Transcription Factor E2f-2","HG2415-HT2511_at",842
"843","Gal Beta 1;3(4)Glcnac Alpha2;3-Sialyltransferase","HG2416-HT2512_at",843
"844","Dynein; Heavy Chain; Cytoplasmic","HG2417-HT2513_at",844
"845","Tropomyosin; Alpha; Muscle; Alt. Splice 2; Skeletal Muscle (Fibroblast)","HG2442-HT2538_at",845
"846","Integrin Beta 1 (Gb:M34189)","HG2460-HT2556_at",846
"847","Guanine Nucleotide-Binding Protein G25k","HG2463-HT2559_at",847
"848","Fmlp-Related Receptor I","HG2480-HT2576_at",848
"849","Glutamate Receptor Subunit","HG2492-HT2588_at",849
"850","Potassium Channel; Voltage-Gated Kcnc1","HG2507-HT2603_at",850
"851","Helix-Loop-Helix Protein Delta Max; Alt. Splice 1","HG2525-HT2621_at",851
"852","Adenylyl Cyclase-Associated Protein 2","HG2530-HT2626_at",852
"853","Heterogeneous Nuclear Ribonucleoprotein C","HG2538-HT2634_at",853
"854","Microtubule-Associated Protein Tau; Alt. Splice 5; Exon 4a","HG2566-HT4867_at",854
"855","Zinc Finger Protein Kup (Gb:X16576)","HG2573-HT2669_at",855
"856","Estradiol 17-beta dehydrogenase 1","HG25930-HT26386_at",856
"857","Succinate Dehydrogenase; Flavoprotein Subunit","HG2602-HT2698_at",857
"858","Pan-2","HG2604-HT2700_at",858
"859","Collagen; Type Viii; Alpha 1","HG2614-HT2710_at",859
"860","Homeotic Protein Emx1","HG2662-HT2758_at",860
"861","Homeotic Protein Emx2","HG2663-HT2759_at",861
"862","Bradykinin Receptor","HG2668-HT2764_at",862
"863","Ryanodine Receptor 3","HG2686-HT2782_at",863
"864","Mucin 5b; Tracheobronchial (Gb:X74955)","HG2689-HT2785_at",864
"865","Lymphocyte Chemoattractant Factor","HG270-HT270_at",865
"866","Serine/Threonine Kinase (Gb:Z25428)","HG2706-HT2802_at",866
"867","Serine/Threonine Kinase (Gb:Z25429)","HG2707-HT2803_at",867
"868","Serine/Threonine Kinase (Gb:Z25431)","HG2709-HT2805_at",868
"869","Tyrosine Kinase (Gb:Z25436)","HG2714-HT2810_at",869
"870","Tyrosine Kinase (Gb:Z25437)","HG2715-HT2811_at",870
"871","Proto-Oncogene N-Cym","HG2723-HT2819_at",871
"872","Oncogene Tls/Chop; Fusion Activated","HG2724-HT2820_at",872
"873","T-Plastin","HG2755-HT2862_at",873
"874","Calcyclin","HG2788-HT2896_at",874
"875","Neural Cell Adhesion Molecule","HG2796-HT2904_at",875
"876","Homeotic Protein Pl2","HG2810-HT2921_at",876
"877","Ret Transforming Gene","HG2825-HT2949_at",877
"878","Heat Shock Protein; 70 Kda (Gb:Y00371)","HG2855-HT2995_at",878
"879","Ribosomal Protein L30 Homolog","HG2873-HT3017_at",879
"880","Ribosomal Protein L39 Homolog","HG2874-HT3018_at",880
"881","Immunoglobulin Heavy Chain; Enhancer Element","HG2936-HT3080_at",881
"882","Beta-Hexosaminidase; Alpha Polypeptide; Abnormal Splice Mutation","HG2992-HT5186_at",882
"883","Adp-Ribosylation-Like Factor","HG3039-HT3200_at",883
"884","Major Histocompatibility Complex; Class I (Gb:L19693)","HG3063-HT3224_at",884
"885","Splicing Factor Sc35; Alt Splice Form 3","HG3088-HT3263_at",885
"886","Serine Protease Met1","HG3104-HT3280_at",886
"887","Ribosomal Protein L30","HG311-HT311_at",887
"888","Autoantigen (Gb:S67069)","HG3111-HT3287_at",888
"889","Mps1 (Gb:L20314)","HG3117-HT3293_at",889
"890","Homeotic Protein Gbx2","HG3123-HT3299_at",890
"891","Cea Family; Bi-Like Domain","HG3132-HT3308_at",891
"892","Zinc Finger Protein Znf81 (Gb:X0729)","HG3137-HT3313_at",892
"893","Beta-1-Glycoprotein 11; Pregnancy-Specific","HG315-HT315_at",893
"894","Transcription Factor Iia","HG3162-HT3339_at",894
"895","Carcinoembryonic Antigen","HG3175-HT3352_at",895
"896","Metallopanstimulin 1","HG3214-HT3391_at",896
"897","Guanine Nucleotide-Binding Protein Hsr1","HG3227-HT3404_at",897
"898","Protease Receptor-1; Effector Cell","HG3231-HT3408_at",898
"899","Fibroblast Growth Factor; Antisense Mrna","HG3248-HT3425_at",899
"900","Phosphatidylinositol 3-Kinase P110; Beta Isoform","HG3254-HT3431_at",900
"901","Gamma-Aminobutyric Acid (Gaba) A Receptor Beta 2 Subunit","HG3255-HT3432_at",901
"902","Af-6 (Gb:U02478)","HG3264-HT3441_at",902
"903","Crystallin; Alpha A","HG3286-HT3463_at",903
"904","Xanthine Dehydrogenase (Gb:U06117)","HG3288-HT3465_at",904
"905","Acetyl-Coenzyme A Carboxylase","HG3299-HT3476_at",905
"906","Ribosomal Protein S4; X-Linked","HG33-HT33_at",906
"907","Tenascin","HG331-HT331_at",907
"908","Thyroid Hormone Receptor; Beta-2","HG3313-HT3490_at",908
"909","Ubiquitin-Conjugating Enzyme Ubch5","HG3344-HT3521_at",909
"910","Pou Domain-Containing Protein (Gb:Z21065)","HG3345-HT3522_at",910
"911","Peroxisome Proliferator Activated Receptor (Gb:Z30972)","HG3355-HT3532_at",911
"912","Ribosomal Protein L37","HG3364-HT3541_at",912
"913","Potassium Channel; Voltage-Gated; Isk-Related Family; Member 1","HG3369-HT3546_at",913
"914","Nestin","HG3400-HT3579_at",914
"915","Zinc Finger Protein Hzf3 (Gb:X60153)","HG3405-HT3586_at",915
"916","Poliovirus Receptor","HG3415-HT3598_at",916
"917","Fibroblast Growth Factor Receptor K-Sam; Alt. Splice 1","HG3432-HT3618_at",917
"918","Fibroblast Growth Factor Receptor K-Sam; Alt. Splice 4; K-Sam Iv","HG3432-HT3621_at",918
"919","Zinc Finger Protein 20","HG3454-HT3647_at",919
"920","Cd4 Antigen","HG3477-HT3670_at",920
"921","Uncoupling Protein Ucp","HG3492-HT3686_at",921
"922","Nuclear Factor Nf-Il6","HG3494-HT3688_at",922
"923","Collagen; Type Ix; Alpha 1","HG3495-HT3689_at",923
"924","Homeotic Protein Hox5.4","HG3502-HT3696_at",924
"925","V-Erba Related Ear-3 Protein","HG3510-HT3704_at",925
"926","Tropomyosin Tm30nm; Cytoskeletal","HG3514-HT3708_at",926
"927","Alpha-1-Antitrypsin; 5' End","HG3517-HT3711_at",927
"928","Ras-Related Protein Rap1b","HG3521-HT3715_at",928
"929","Ccaat Displacement Protein; Cut Homolog; Alt. Splice 1","HG3548-HT3749_at",929
"930","Wilm'S Tumor-Related Protein","HG3549-HT3751_at",930
"931","Zinc Finger Protein (Gb:M88359)","HG3566-HT3769_at",931
"932","Protein Phosphatase Inhibitor Homolog","HG3570-HT3773_at",932
"933","Autoimmune Antigen; Thyroid Disease-Related Antigen","HG3578-HT3781_at",933
"934","Homeotic Protein 7; Notch Group","HG358-HT358_at",934
"935","Calcium Channel; Voltage-Gated; Beta 1 Subunit; L Type; Alt. Splice 2; Skeletal Muscle Isoform","HG3627-HT3836_at",935
"936","Epidermal Growth Factor Receptor-Related Protein","HG363-HT363_at",936
"937","Iron-Responsive Element-Binding Protein","HG37-HT37_at",937
"938","Epiligrin; Alpha 3","HG3733-HT4003_at",938
"939","Basic Transcription Factor 2; 34 Kda Subunit","HG3740-HT4010_at",939
"940","Basic Transcription Factor; 44 Kda Subunit","HG3748-HT4018_at",940
"941","Immunoglobulin Heavy Chain; Fd Fragment","HG3790-HT4060_at",941
"942","Ribosomal Protein L26","HG384-HT384_at",942
"943","Immunoglobulin Gamma Heavy Chain; V(6)Djc Regions (Gb:U13200)","HG3872-HT4142_at",943
"944","Homeotic Protein Hpx-42","HG3884-HT4154_at",944
"945","Phosphoglucomutase 1; Alt. Splice","HG3893-HT4163_at",945
"946","Sodium Channel; Type Iii; Alpha Subunit; Brain","HG3897-HT4167_at",946
"947","Stearoyl-Coenzymea Desaturase","HG3930-HT4200_at",947
"948","G1 Phase-Specific Gene","HG3934-HT4204_at",948
"949","Interleukin 9 Receptor (Gb:S71404)","HG3936-HT4206_at",949
"950","Interferon","HG3942-HT4212_at",950
"951","Phospholipid Transfer Protein","HG3945-HT4215_at",951
"952","Sialyltransferase; Stx","HG3962-HT4232_at",952
"953","Transcription Factor (Gb:L32162)","HG3971-HT4241_at",953
"954","Pou-Domain Dna Binding Factor Pit1; Pituitary-Specific","HG3976-HT4246_at",954
"955","Cpg-Enriched Dna; Clone E04","HG3985-HT4255_at",955
"956","Cpg-Enriched Dna; Clone E06","HG3987-HT4257_at",956
"957","Cpg-Enriched Dna; Clone E14","HG3989-HT4259_at",957
"958","Cpg-Enriched Dna; Clone E35","HG3992-HT4262_at",958
"959","Cpg-Enriched Dna; Clone S12","HG3993-HT4263_at",959
"960","Cpg-Enriched Dna; Clone S16","HG3994-HT4264_at",960
"961","Cpg-Enriched Dna; Clone S19","HG3995-HT4265_at",961
"962","L-Glycerol-3-Phosphate:Nad+ Oxidoreductase","HG3998-HT4268_at",962
"963","Retinoic Acid Receptor; Beta; Isoform 1","HG3999-HT4269_at",963
"964","Opioid-Binding Cell Adhesion Molecule","HG4018-HT4288_at",964
"965","Retinoblastoma 1","HG4036-HT4306_at",965
"966","Choline Acetyltransferase","HG4051-HT4321_at",966
"967","Glutamate Ionotropic Receptor 1","HG4052-HT4322_at",967
"968","Oncogene Aml1-Evi-1; Fusion Activated","HG4058-HT4328_at",968
"969","P97 Antigen; Melanoma-Specific","HG406-HT406_at",969
"970","Phosphoprotein Tal2","HG4068-HT4338_at",970
"971","Cytosolic Acetoacetyl-Coenzyme A Thiolase","HG4073-HT4343_at",971
"972","Rad2","HG4074-HT4344_at",972
"973","N-Ethylmaleimide-Sensitive Factor","HG4102-HT4372_at",973
"974","Olfactory Receptor Or17-209","HG4114-HT4384_at",974
"975","Zinc Finger Protein Hzf4","HG4126-HT4396_at",975
"976","Anion Exchanger 3; Cardiac Isoform","HG4128-HT4398_at",976
"977","Zinc Finger Protein Hzf6","HG4144-HT4414_at",977
"978","Lectin; Galactoside-Binding; Soluble; 2","HG415-HT415_at",978
"979","Glycinamide Ribonucleotide Synthetase","HG4157-HT4427_at",979
"980","Hpc-1","HG4165-HT4435_at",980
"981","Nuclear Factor 1; A Type","HG4167-HT4437_at",981
"982","Af-17","HG4178-HT4448_at",982
"983","Estrogen Sulfotransferase; Ste","HG4185-HT4455_at",983
"984","N-Methyl-D-Aspartate Receptor Subunit; Splice Variant Hnr1n","HG4188-HT4458_at",984
"985","Sodium/Hydrogen Exchanger 5","HG4194-HT4464_at",985
"986","Methylenetetrahydrofolate Reductase","HG4234-HT4504_at",986
"987","Zinc Finger Protein Znf155","HG4243-HT4513_at",987
"988","Forkhead Family Afx1","HG4245-HT4515_at",988
"989","Kinase Inhibitor P27kip1; Cyclin-Dependent","HG4258-HT4528_at",989
"990","Nkr-P1a Protein","HG4263-HT4533_at",990
"991","Hepatocyte Growth Factor Receptor","HG4272-HT4542_at",991
"992","B-Cell Growth Factor 1","HG429-HT429_at",992
"993","Transcriptional Coactivator Pc4","HG4297-HT4567_at",993
"994","Cellular Retinol Binding Protein Ii","HG4310-HT4580_at",994
"995","Transketolase-Like Protein","HG4316-HT4586_at",995
"996","Ribosomal Protein L5","HG4319-HT4589_at",996
"997","Ahnak-Related Sequence","HG4321-HT4591_at",997
"998","Zinc Finger Protein Znfpt1","HG4332-HT4602_at",998
"999","Zinc Finger Protein Znfpt7","HG4333-HT4603_at",999
"1000","Bactericidal Bpi'Gene","HG4336-HT4606_at",1000
"1001","Ribosomal Protein L18a Homolog","HG4390-HT4660_at",1001
"1002","Mucin; Gastric","HG4411-HT4681_at",1002
"1003","Cyclin D1 Promoter","HG4433-HT4703_at",1003
"1004","Immunoglobulin Heavy Chain; Vdjc Regions (Gb:L23563)","HG4458-HT4727_at",1004
"1005","Immunoglobulin Heavy Chain; Vdjc Regions (Gb:L23564)","HG4460-HT4729_at",1005
"1006","Immunoglobulin Heavy Chain; Vdjc Regions (Gb:L23565)","HG4462-HT4731_at",1006
"1007","Collagen; Type Vi; Alpha 2; N-Terminal Domain","HG4480-HT4833_at",1007
"1008","Kallistatin; Protease Inhibitor 4","HG4533-HT4938_at",1008
"1009","Ribosomal Protein L10","HG4542-HT4947_at",1009
"1010","Glucocorticoid Receptor; Beta","HG4582-HT4987_at",1010
"1011","Centractin; Alpha","HG4606-HT5011_at",1011
"1012","Spliceosomal Protein Sap 49","HG4638-HT5050_at",1012
"1013","Microtubule-Associated Protein 1b","HG4660-HT5073_at",1013
"1014","Omega Light Chain; Immunoglobulin Lambda Light Chain Related","HG4662-HT5075_at",1014
"1015","Glial Growth Factor 2","HG4704-HT5146_at",1015
"1016","Guanosine 5'-Monophosphate Synthase","HG4716-HT5158_at",1016
"1017","Atp-Binding Cassette Protein","HG4724-HT5166_at",1017
"1018","Transcription Factor Eb","HG4740-HT5187_at",1018
"1019","Nadh-Ubiquinone Oxidoreductase; 51 Kda Subunit","HG4747-HT5195_at",1019
"1020","Calmitine Calcium-Binding Protein; Mitochondrial","HG4749-HT5197_at",1020
"1021","Ras Inhibitor Inf","HG511-HT511_at",1021
"1022","Collagen; Type Viii; Alpha 2","HG537-HT537_at",1022
"1023","Endothelial Cell Growth Factor 1","HG544-HT544_at",1023
"1024","Ribosomal Protein S12","HG613-HT613_at",1024
"1025","Tyrosine Phosphatase; Epsilon","HG620-HT620_at",1025
"1026","Nf-Kappa B-Binding Protein Kbp-1","HG64-HT64_at",1026
"1027","Histone H1.1","HG644-HT644_at",1027
"1028","Epstein-Barr Virus Small Rna-Associated Protein","HG662-HT662_at",1028
"1029","T-Cell Factor 1; A/B/C; Alt. Splice 1; A","HG668-HT4793_at",1029
"1030","Serum Amyloid A1","HG732-HT732_at",1030
"1031","Latent Membrane Protein Lmp1","HG742-HT742_at",1031
"1032","Ribosomal Protein S13","HG821-HT821_at",1032
"1033","Guanine Nucleotide-Binding Protein; Alpha 12","HG825-HT825_at",1033
"1034","Potassium Channel (Gb:L02750)","HG830-HT830_at",1034
"1035","Potassium Channel (Gb:L02752)","HG831-HT831_at",1035
"1036","Cyclophilin-Related Protein","HG846-HT846_at",1036
"1037","Golgin; 165 Kda Polypeptide","HG870-HT870_at",1037
"1038","Thrombospondin 2 (Gb:L07803)","HG896-HT896_at",1038
"1039","Mg44","HG907-HT907_at",1039
"1040","Mg61 Protein (Gb:L08239)","HG908-HT908_at",1040
"1041","Mg81","HG909-HT909_at",1041
"1042","Dna Polymerase; Epsilon; Catalytic Subunit","HG919-HT919_at",1042
"1043","Serine/Threonine Kinase; Receptor 2-2; Alt. Splice 3","HG921-HT3995_at",1043
"1044","Guanine Nucleotide Exchange Factor 1","HG960-HT960_at",1044
"1045","Guanine Nucleotide Exchange Factor 2","HG961-HT961_at",1045
"1046","Mac25","HG987-HT987_at",1046
"1047","Alpha-cardiac actin gene; 5' flank and","J00073_at",1047
"1048","PROENKEPHALIN A PRECURSOR","J00123_at",1048
"1049","KERATIN; TYPE I CYTOSKELETAL 14","J00124_at",1049
"1050","FIBRINOGEN BETA CHAIN PRECURSOR","J00129_at",1050
"1051","PEPSINOGEN A PRECURSOR","J00287_at",1051
"1052","PTH Parathyroid hormone","J00301_at",1052
"1053","Somatostatin I gene and flanks","J00306_at",1053
"1054","APOD Apolipoprotein D","J02611_at",1054
"1055","EIF2A Eukaryotic translation initiation factor 2A","J02645_at",1055
"1056","CYP2E Cytochrome P450; subfamily IIE","J02843_at",1056
"1057","20-kDa myosin light chain (MLC-2) mRNA","J02854_at",1057
"1058","FABP4 Fatty acid binding protein 4; adipocyte","J02874_at",1058
"1059","FOLATE RECEPTOR BETA PRECURSOR","J02876_at",1059
"1060","CLPS Colipase; pancreatic","J02883_at",1060
"1061","NMOR2 Quinone oxidoreductase (NQO2)","J02888_at",1061
"1062","PROTEIN PHOSPHATASE PP2A; 65 KD REGULATORY SUBUNIT; ALPHA ISOFORM","J02902_at",1062
"1063","CYTOCHROME P450 IIF1","J02906_at",1063
"1064","LCP1 Lymphocyte cytosolic protein 1 (L-plastin)","J02923_at",1064
"1065","CBG Corticosteroid binding globulin","J02943_at",1065
"1066","ITGA2B Integrin; alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex; antigen CD41B)","J02963_at",1066
"1067","THBD gene extracted from Human thrombomodulin gene","J02973_rna1_at",1067
"1068","SPARC SPARC/osteonectin","J03040_at",1068
"1069","APEH N-acylaminoacyl-peptide hydrolase","J03068_at",1069
"1070","MYCL2 gene","J03069_rna1_at",1070
"1071","SP1 Sp1 transcription factor","J03133_at",1071
"1072","SRF Serum response factor (c-fos serum response element-binding transcription factor)","J03161_at",1072
"1073","INTERFERON-ALPHA/BETA RECEPTOR ALPHA CHAIN PRECURSOR","J03171_at",1073
"1074","Profilin mRNA","J03191_at",1074
"1075","VDR Vitamin D (1;25- dihydroxyvitamin D3) receptor","J03258_at",1075
"1076","PDGFRB Platelet-derived growth factor receptor; beta polypeptide","J03278_at",1076
"1077","LTA4H Leukotriene A4 hydrolase","J03459_at",1077
"1078","ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)","J03473_at",1078
"1079","SERUM AMYLOID A PROTEIN PRECURSOR","J03474_at",1079
"1080","C7 Complement component 7","J03507_at",1080
"1081","UBIQUITIN-LIKE PROTEIN GDX","J03589_at",1081
"1082","ANT3 Adenine nucleotide translocator 3 (liver)","J03592_at",1082
"1083","ALOX5 Arachidonate 5-lipoxygenase","J03600_at",1083
"1084","SOMATOTROPIN PRECURSOR","J03756_at",1084
"1085","PAI1 Plasminogen activator inhibitor; type I","J03764_at",1085
"1086","MME Membrane metallo-endopeptidase (neutral endopeptidase; enkephalinase; CALLA; CD10)","J03779_at",1086
"1087","SMALL NUCLEAR RIBONUCLEOPROTEIN SM D1","J03798_at",1087
"1088","SLC2A2 Solute carrier family 2 (facilitated glucose transporter); member 2","J03810_at",1088
"1089","UROS Uroporphyrinogen III synthase","J03824_at",1089
"1090","DbpB-like protein mRNA","J03827_at",1090
"1091","SP-C1 gene (pulmonary surfactant protein SP-C) extracted from Human pulmonary surfactant protein C (SP-C) and pulmonary surfactant protein C1 (SP-C1) genes","J03890_rna1_at",1091
"1092","GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR","J03909_at",1092
"1093","ITGAM Integrin; alpha M (complement component receptor 3; alpha; also known as CD11b (p170); macrophage antigen alpha polypeptide)","J03925_at",1093
"1094","ALKALINE PHOSPHATASE; INTESTINAL PRECURSOR","J03930_at",1094
"1095","Adenosine triphosphatase mRNA","J04027_at",1095
"1096","MTHFD Methylenetetrahydrofolate dehydrogenase- methenyltetrahydrofolate cyclohydrolase-formyltetrahydrofolate synthetase","J04031_at",1096
"1097","GCG Glucagon","J04040_at",1097
"1098","CBR Carbonyl reductase","J04056_at",1098
"1099","ETFA Electron-transfer-flavoprotein; alpha polypeptide (glutaric aciduria II)","J04058_at",1099
"1100","EGR2 Early growth response 2 (Krox-20 (Drosophila) homolog)","J04076_at",1100
"1101","C1S Complement component 1; s subcomponent","J04080_at",1101
"1102","TOP2A Topoisomerase (DNA) II alpha (170kD)","J04088_at",1102
"1103","GB DEF = Erythroblastosis virus oncogene homolog 1 (ets-1) mRNA","J04101_at",1103
"1104","ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2","J04102_at",1104
"1105","C-jun proto oncogene (JUN); clone hCJ-1","J04111_at",1105
"1106","CD3Z CD3Z antigen; zeta polypeptide (TiT3 complex)","J04132_at",1106
"1107","IL7 Interleukin 7","J04156_at",1107
"1108","FCGR3 Fc fragment of IgG; low affinity IIIa; receptor for (CD16)","J04162_at",1108
"1109","RPS3 Ribosomal protein S3","J04164_at",1109
"1110","PGAM1 Phosphoglycerate mutase 1 (brain)","J04173_at",1110
"1111","COL11A1 Collagen; type XI; alpha 1","J04177_at",1111
"1112","CYC1 Cytochrome c-1","J04444_at",1112
"1113","LGALS1 Ubiquinol-cytochrome c reductase core protein II","J04456_at",1113
"1114","Mitochondrial creatine kinase (CKMT) gene","J04469_at",1114
"1115","GYS1 Glycogen synthase 1 (muscle)","J04501_at",1115
"1116","ANX7 Annexin VII (synexin)","J04543_at",1116
"1117","BGN Biglycan","J04599_at",1117
"1118","PEPD Peptidase D","J04605_at",1118
"1119","G22P1 Thyroid autoantigen 70kD (Ku antigen)","J04611_at",1119
"1120","SNRPN Small nuclear ribonucleoprotein polypeptide N","J04615_at",1120
"1121","SDC2 Syndecan 2 (heparan sulfate proteoglycan 1; cell surface-associated; fibroglycan)","J04621_at",1121
"1122","BPI Bactericidal/permeability-increasing protein","J04739_at",1122
"1123","GB DEF = Autonomous replicating sequence H1 (ARSH1)","J04742_at",1123
"1124","TNNI1 Troponin I; skeletal; slow","J04760_at",1124
"1125","ALCOHOL DEHYDROGENASE","J04794_at",1125
"1126","Cytosolic adenylate kinase (AK1) gene","J04809_rna1_at",1126
"1127","Cytochrome c oxidase subunit VIII (COX8) mRNA","J04823_rna1_at",1127
"1128","Alkaline phosphatase","J04948_at",1128
"1129","CPM Carboxypeptidase M","J04970_at",1129
"1130","LGALS1 Ubiquinol-cytochrome c reductase core protein II","J04973_at",1130
"1131","ANT1 Adenine nucleotide translocator 1 (skeletal muscle)","J04982_at",1131
"1132","90-kDa heat-shock protein gene; cDNA","J04988_at",1132
"1133","CATHEPSIN G PRECURSOR","J04990_at",1133
"1134","EDN1 Endothelin 1 {alternative products}","J05008_at",1134
"1135","ASPARTYL-TRNA SYNTHETASE","J05032_at",1135
"1136","L-SERINE DEHYDRATASE","J05037_at",1136
"1137","TCN1 Transcobalamin I","J05068_at",1137
"1138","MMP2 Matrix metalloproteinase 2 (gelatinase A; collagenase type IV)","J05070_at",1138
"1139","PGAM2 Phosphoglycerate mutase 2 (muscle)","J05073_at",1139
"1140","Na;K-ATPase subunit alpha 2 (ATP1A2) gene","J05096_rna1_at",1140
"1141","PNLIP Pancreatic lipase","J05125_at",1141
"1142","CARBOXYPEPTIDASE N 83 KD CHAIN","J05158_at",1142
"1143","GB DEF = Sialoprotein mRNA","J05213_at",1143
"1144","SPTAN1 Spectrin; alpha; non-erythrocytic 1 (alpha-fodrin)","J05243_at",1144
"1145","RPA2 Replication protein A2 (32kD)","J05249_at",1145
"1146","DPEP1 Dipeptidase 1 (renal)","J05257_at",1146
"1147","IMPDH1 IMP (inosine monophosphate) dehydrogenase 1","J05272_at",1147
"1148","CKMT2 Creatine kinase; mitochondrial 2 (sarcomeric)","J05401_at",1148
"1149","UDP-GLUCURONOSYLTRANSFERASE 2B7 PRECURSOR; MICROSOMAL","J05428_at",1149
"1150","POLR2C RNA polymerase II; polypeptide C (33kD)","J05448_at",1150
"1151","GSTM3 Glutathione S-transferase M3 (brain)","J05459_at",1151
"1152","SPTB Spectrin; beta; erythrocytic (includes sperocytosis; clinical type I)","J05500_at",1152
"1153","MMP8 Matrix metalloproteinase 8 (neutrophil collagenase)","J05556_at",1153
"1154","GB DEF = Proliferating cell nuclear antigen (PCNA) gene; promoter region","J05614_at",1154
"1155","ATP6D ATPase; H+ transporting; lysosomal (vacuolar proton pump) 42kD","J05682_at",1155
"1156","GB DEF = Metallothionein-I-A gene; complete coding sequence","K01383_at",1156
"1157","PI Protease inhibitor 1 (anti-elastase); alpha-1-antitrypsin","K01396_at",1157
"1158","GB DEF = Blym-1 transforming gene; complete coding region","K01884_at",1158
"1159","NPY Neuropeptide Y","K01911_at",1159
"1160","GRP Gastrin-releasing peptide","K02054_at",1160
"1161","OTC Ornithine carbamoyltransferase","K02100_at",1161
"1162","ANGIOTENSINOGEN PRECURSOR","K02215_at",1162
"1163","BETA-NEOENDORPHIN-DYNORPHIN PRECURSOR","K02268_at",1163
"1164","F9 Coagulation factor IX (plasma thromboplastic component; Christmas disease; hemophilia B)","K02402_at",1164
"1165","TCRB gene extracted from Human T-cell receptor germline beta-chain J-beta-1 gene cluster: J-beta-1-1 and J-beta-1-2 genes; and D-beta-1-1 gene","K02545_cds2_at",1165
"1166","NP Nucleoside phosphorylase","K02574_at",1166
"1167","COMPLEMENT C3 PRECURSOR","K02765_at",1167
"1168","Gamma-G2-psi gene extracted from Human gamma-C-crystallin (gamma-3) gene","K03008_cds1_at",1168
"1169","Gamma-G2-psi gene extracted from Human gamma-C-crystallin (gamma-3) gene","K03008_cds2_at",1169
"1170","PLAT Plasminogen activator; tissue type (t-PA)","K03021_at",1170
"1171","(HepG2) glucose transporter gene mRNA","K03195_at",1171
"1172","PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC","K03218_at",1172
"1173","C1QB Complement component 1; q subcomponent; beta polypeptide","K03430_at",1173
"1174","Alpha-tubulin isotype H2-alpha gene; last exon","K03460_at",1174
"1175","MUELLERIAN INHIBITING FACTOR PRECURSOR","K03474_at",1175
"1176","GPI Glucose phosphate isomerase","K03515_at",1176
"1177","GHRF gene (growth hormone releasing factor) extracted from Human growth hormone-releasing factor (GRF) gene; exon 1 (","L00137_cds1_at",1177
"1178","LOW-DENSITY LIPOPROTEIN RECEPTOR PRECURSOR","L00352_at",1178
"1179","PROCHOLECYSTOKININ PRECURSOR","L00354_at",1179
